"Borough","Market Name","Street Address","Community District","Latitude","Longitude","Days of Operation","Hours of Operations","Season Begin","Season End","Accepts EBT","Distributes Health Bucks?","Open Year-Round"," Cooking Demonstrations","Location Point","Zip Code"
"Brooklyn","Wyckoff House Museum Farmstand","5816 Clarendon Road","317","40.64497","-73.920914","Saturday","11AM - 3PM","2023 Jun 17 12:00:00 AM","2023 Oct 28 12:00:00 AM","Yes","Yes","No","No","(40.64497, -73.920914)","11203"
"Brooklyn","Park Slope's Down to Earth Farmers Market","4th St. & 5th Ave.","306","40.672194","-73.983785","Sunday","9AM - 2PM","2023 Jan 01 12:00:00 AM","2023 Dec 31 12:00:00 AM","Yes","Yes","Yes","No","(40.672194, -73.983785)","11215"
"Queens","Queens Farm - Queens Borough Hall","120-55 Queens Blvd.","409","40.713318","-73.82858","Thursday","11AM - 3PM","2023 Jun 09 12:00:00 AM","2023 Nov 02 12:00:00 AM","Yes","Yes","No","No","(40.713318, -73.82858)","11424"
"Queens","St. Albans Farmers Market","St. Albans Long Island Railroad Commuter Parking Lot - Linden Blvd. bet 180th & Newburg Sts.","412","40.69225","-73.766682","Saturday","11AM - 4PM",,,"TBD","No","No","No","(40.69225, -73.766682)","11434"
"Queens","Flushing Greenmarket","Sanford Ave. & Union St. (Bowne Playground)","407","40.757731","-73.824852","Wednesday","8AM - 3PM","2023 Jul 05 12:00:00 AM","2023 Nov 29 12:00:00 AM","Yes","Yes","No","No","(40.757731, -73.824852)","11355"
"Manhattan","Grass Roots Farmers' Market","W. 145th St. bet Edgecombe & Bradhurst Aves, at Jackie Robinson Park","109","40.823647","-73.943844","Tuesday & Saturday","9AM - 4PM","2023 Jul 08 12:00:00 AM","2023 Nov 28 12:00:00 AM","Yes","Yes","No","No","(40.823647, -73.943844)","10031"
"Manhattan","Bro Sis Green Youth Market","Amsterdam bet W. 143rd & 144th Sts., at Johnny Hartman Plaza","109","40.82394","-73.948552","Wednesday","10:30AM - 6PM","2023 May 17 12:00:00 AM","2023 Nov 22 12:00:00 AM","Yes","Yes","No","No","(40.82394, -73.948552)","10031"
"Brooklyn","Sunset Park Farmstand","7th Ave. and 44th St.","307","40.645841","-74.002402","Saturdays","8AM - 2PM","2022 Dec 02 12:00:00 AM","2023 May 18 12:00:00 AM","Yes","Yes","No","No","(40.645841, -74.002402)","11232"
"Manhattan","Market in the Heights at 125","163 West 125th St.","101","40.809344","-73.947722","Saturday (once a month)","9AM - 4PM",,"2023 Nov 11 12:00:00 AM","Yes","Yes","No","No","(40.809344, -73.947722)","10027"
"Queens","Forest Park Farmstand","Park Lane South & Myrtle Ave. (My Buddy Statue Plaza)","409","40.701192","-73.841597","Saturday","9:30AM - 2PM","2023 Jul 01 12:00:00 AM","2023 Nov 18 12:00:00 AM","Yes","Yes","No","No","(40.701192, -73.841597)","11418"
"Brooklyn","Harvest Home Coney Island Hospital Farmers Market","Ocean Parkway bet Ave. Z & Shore Parkway","313","40.5867","-73.96615","Friday","8AM - 3PM","2023 Jun 16 12:00:00 AM","2023 Nov 17 12:00:00 AM","Yes","Yes","No","No","(40.5867, -73.96615)","11235"
"Brooklyn","Boro Park Greenmarket","14th Ave. bet 49th & 50th Sts.","312","40.633285","-73.990548","Thursday","8AM - 2PM","2023 Jul 06 12:00:00 AM","2023 Nov 16 12:00:00 AM","Yes","Yes","No","No","(40.633285, -73.990548)","11219"
"Queens","Ridgewood Farmstand","Cypress Ave. bet Myrtle Ave. & Putnam Ave.","405","40.700403","-73.90668","Saturday","8AM - 2:30PM","2023 Jul 01 12:00:00 AM","2023 Nov 18 12:00:00 AM","Yes","Yes","No","No","(40.700403, -73.90668)","11385"
"Queens","Corona Greenmarket","Roosevelt Ave. & 103rd St.","403","40.749869","-73.862726","Friday","8AM - 3PM","2023 Jun 16 12:00:00 AM","2023 Nov 17 12:00:00 AM","Yes","Yes","No","Yes","(40.749869, -73.862726)","11368"
"Manhattan","Tucker Square Greenmarket","Columbus & 66th St.","107","40.773709","-73.98196","Thursday & Saturday","8AM - 3PM (Thursday); 8AM - 4PM (Saturday)","2023 Jan 01 12:00:00 AM","2023 Dec 31 12:00:00 AM","Yes","Yes","Yes","No","(40.773709, -73.98196)","10023"
"Brooklyn","Bartel-Pritchard Square Greenmarket","Prospect Park W. at 15th St.","355","40.661354","-73.96968","Wednesday (year-round) & Sunday (seasonal)","8AM - 2PM (W); 9AM - 2PM (SU)","2023 Jan 01 12:00:00 AM","2023 Dec 31 12:00:00 AM","Yes","Yes","Yes","No","(40.661354, -73.96968)","11215"
"Bronx","Harvest Home Jacobi Hospital Farmers Market","1400 Pelham Parkway","211","40.8574","-73.847079","Friday","8AM - 3PM","2023 Jun 23 12:00:00 AM","2023 Nov 17 12:00:00 AM","Yes","Yes","No","No","(40.8574, -73.847079)","10461"
"Queens","Socrates Sculpture Park","32-01 Vernon Blvd.","401","40.767634","-73.936314","Saturday","10AM - 2PM","2023 May 26 12:00:00 AM","2023 Nov 18 12:00:00 AM","Yes","Yes","No","No","(40.767634, -73.936314)","11106"
"Queens","Edgemere Farm Market","385 Beach 45th St.","414","40.595255","-73.776524","Sunday","10AM - 1PM","2023 May 21 12:00:00 AM","2023 Oct 31 12:00:00 AM","Yes","Yes","No","No","(40.595255, -73.776524)","11691"
"Bronx","Morning Glory Market at the New York Botanical Gardens","2900 Southern Blvd.","227","40.865684","-73.883312","Wednesday","10AM - 3PM","2023 May 24 12:00:00 AM","2023 Oct 25 12:00:00 AM","Yes","Yes","No","No","(40.865684, -73.883312)","10458"
"Queens","Jackson Heights Greenmarket","34th Ave. & 79th St.","403","40.753607","-73.887739","Sunday","8AM - 3PM","2023 Jan 01 12:00:00 AM","2023 Dec 31 12:00:00 AM","Yes","Yes","Yes","No","(40.753607, -73.887739)","11372"
"Manhattan","Mount Sinai Greenmarket","Madison Ave. & 99th St.","111","40.789386","-73.952595","Wednesday","8AM - 3PM","2023 Jun 14 12:00:00 AM","2023 Nov 22 12:00:00 AM","Yes","Yes","No","No","(40.789386, -73.952595)","10029"
"Brooklyn","East New York Farmers Stand I","Euclid & Pitkin Aves.","305","40.675404","-73.871914","Thursday","2PM - 6:30PM","2023 Jul 06 12:00:00 AM","2023 Oct 26 12:00:00 AM","Yes","Yes","No","No","(40.675404, -73.871914)","11208"
"Manhattan","Chelsea's Down to Earth Farmers Market","W. 23rd St. bet 8th & 9th Aves.","104","40.745293","-73.998488","Saturday","9AM - 2PM","2023 Apr 22 12:00:00 AM","2023 Dec 23 12:00:00 AM","Yes","Yes","No","No","(40.745293, -73.998488)","10011"
"Brooklyn","Urban Oasis","681 Clarkson Ave.","309","40.657269","-73.934066","Wednesday","2PM - 5:30PM","2023 Jun 07 12:00:00 AM","2023 Nov 22 12:00:00 AM","No","No","No","No","(40.657269, -73.934066)","11203"
"Brooklyn","Fresh Vibes Market at Canarsie Pier","Canarsie Veteran's Circle","318","40.6289","-73.8842","Tuesday","9AM - 2PM",,,"Yes","Yes","No","No","(40.6289, -73.8842)","11236"
"Brooklyn","People in Need Farmstand","114 Beverly Road","312","40.642934","-73.978827","Sunday","11AM - 1PM","2023 Jan 01 12:00:00 AM","2023 Dec 31 12:00:00 AM","yes","No","Yes","No","(40.642934, -73.978827)","11218"
"Brooklyn","Seeds in the Middle - Ocean Hill - Brownsville Farm Stand","2163 Dean St.","316","40.675024","-73.915778","Wednesday","12:30PM - 3:30PM","2023 Jan 01 12:00:00 AM","2023 Dec 31 12:00:00 AM","Yes","Yes","No","No","(40.675024, -73.915778)","11233"
"Brooklyn","Brooklyn Grange Farm Stand","850 3rd Ave. (Roof)","407","40.658518","-74.003327","Sunday (second Sunday of each month)","9AM - 3PM","2023 May 21 12:00:00 AM","2023 Oct 22 12:00:00 AM","Yes","Yes","No","No","(40.658518, -74.003327)","11232"
"Manhattan","97th Street Greenmarket","97th St. bet Columbus & Amsterdam Aves","107","40.794003","-73.96807","Friday","8AM - 2PM","2023 Jan 01 12:00:00 AM","2023 Dec 31 12:00:00 AM","Yes","Yes","Yes","No","(40.794003, -73.96807)","10025"
"Manhattan","Harvest Home Metropolitan Hospital Farmers Market","E. 97th St. & 2nd Ave.","111","40.784943","-73.946589","Friday","8AM - 3PM","2023 Jun 16 12:00:00 AM","2023 Nov 17 12:00:00 AM","Yes","Yes","No","No","(40.784943, -73.946589)","10029"
"Manhattan","Project EATS Farm Stand at Essex Crossing","115 Delancey St.","103","40.719322","-73.987817","Wednesday-Sunday","11AM  - 7PM","2023 May 24 12:00:00 AM",,"Yes","Yes","No","No","(40.719322, -73.987817)","10002"
"Brooklyn","Fresh Vibes Market at the American Beverage Association","2010 Fulton St.","303","40.678542","-73.917821","Thursday (1st and 3rd)","10AM - 1PM",,,"Yes","Yes","No","No","(40.678542, -73.917821)","11233"
"Staten Island","Heritage Farm Stand (Compost Demonstration Site)","1000 Richmond Terrace (compost demonstration site)","501","40.645075","-74.104753","Friday","3:30PM - 6PM","2023 Jun 02 12:00:00 AM","2023 Oct 13 12:00:00 AM","Yes","Yes","No","No","(40.645075, -74.104753)","10301"
"Bronx","The Market at Preston","2780 Schurz Ave. (Preston High School)","210","40.814256","-73.819339","Tuesday","4PM - 7PM","2023 Jun 27 12:00:00 AM","2023 Sep 26 12:00:00 AM","Yes","No","No","No","(40.814256, -73.819339)","10465"
"Manhattan","Dag Hammarskjold Greenmarket","47th St. & 2nd Ave.","106","40.752122","-73.968154","Wednesday","8AM - 3PM","2023 Jan 01 12:00:00 AM","2023 Dec 31 12:00:00 AM","Yes","Yes","Yes","No","(40.752122, -73.968154)","10017"
"Staten Island","St. George Greenmarket","St Marks Pl. & Hyatt St.","501","40.641586","-74.0779","Saturday","8AM - 2PM","2023 Jan 01 12:00:00 AM","2023 Dec 31 12:00:00 AM","Yes","Yes","Yes","No","(40.641586, -74.0779)","10301"
"Manhattan","Columbia Greenmarket","Broadway & 114th St.","109","40.807145","-73.964265","Thursdays & Sundays","8AM - 4PM","2023 Jan 01 12:00:00 AM","2023 Dec 31 12:00:00 AM","Yes","Yes","Yes","No","(40.807145, -73.964265)","10025"
"Brooklyn","Fort Greene Greenmarket","Washington Park & Dekalb Ave.","302","40.691457","-73.973421","Saturday","8AM - 3PM","2023 Jan 01 12:00:00 AM","2023 Dec 31 12:00:00 AM","Yes","Yes","Yes","No","(40.691457, -73.973421)","11201"
"Bronx","Bronx Borough Hall Greenmarket","161st St. & Grand Concourse","204","40.827335","-73.922911","Tuesday","8AM - 4PM","2023 Jun 06 12:00:00 AM","2023 Nov 21 12:00:00 AM","Yes","Yes","No","Yes","(40.827335, -73.922911)","10452"
"Bronx","Norwood Farmstand","E. Gun Hill Rd. & Dekalb Ave. (SE corner)","207","40.88222","-73.880458","Thursday","8:30AM - 2PM","2023 Jan 01 12:00:00 AM","2023 Dec 31 12:00:00 AM","Yes","Yes","Yes","No","(40.88222, -73.880458)","10467"
"Manhattan","79th Street Greenmarket","79th St. & Columbus Ave.","107","40.782295","-73.975244","Sunday","9AM - 4PM","2023 Jan 01 12:00:00 AM","2023 Dec 31 12:00:00 AM","Yes","Yes","Yes","No","(40.782295, -73.975244)","10024"
"Brooklyn","Red Hook Farm Stand","560 Columbia St.","306","40.672524","-74.00871","Saturday","10AM - 2PM","2023 Jun 17 12:00:00 AM","2023 Nov 18 12:00:00 AM","Yes","Yes","No","No","(40.672524, -74.00871)","11231"
"Brooklyn","Seeds in the Middle - Crown Heights - Clara Barton HS Farm Stand","901 Classon Ave.","309","40.669567","-73.961962","Thursdays","12PM - 3PM (summer); 3PM - 6PM (fall)","2023 Jan 01 12:00:00 AM","2023 Dec 31 12:00:00 AM","Yes","Yes","No","No","(40.669567, -73.961962)","11225"
"Brooklyn","Harvest Home Utica Avenue Farmers Market","Eastern Parkway bet Utica & Rochester Aves","308","40.668754","-73.930136","Wednesday","8AM - 3PM","2023 Jun 14 12:00:00 AM","2023 Nov 22 12:00:00 AM","Yes","Yes","No","No","(40.668754, -73.930136)","11213"
"Manhattan","Lower East Side Farmstand","Grand St. bet Pitt and Willett Sts. (outside of Abrons Arts Center)","103","40.71521","-73.984258","Thursday","8:30AM - 3PM","2023 Jun 29 12:00:00 AM","2023 Nov 30 12:00:00 AM","Yes","Yes","No","No","(40.71521, -73.984258)","10002"
"Bronx","Riverdale Y Sunday Farmers Market","4545 Independence Ave.","208","40.891762","-73.912208","Sunday","9AM - 2PM","2023 Jan 01 12:00:00 AM","2023 Dec 31 12:00:00 AM","Yes","Yes","Yes","No","(40.891762, -73.912208)","10471"
"Brooklyn","Flatbush Junction Farmstand","Nostrand & Flatbush Aves","314","40.632886","-73.947698","Saturday","9AM - 2PM",,,"Yes","Yes","No","No","(40.632886, -73.947698)","11210"
"Brooklyn","Black Radish Farmers Market","12020 Flatlands Ave.","205","40.651146","-73.888606","Saturday","10AM - 4PM","2023 Jul 08 12:00:00 AM",,"Yes","Yes","No","No","(40.651146, -73.888606)","11233"
"Bronx","Harvest Home Co-op City Farm Stand","Asch Loop & Aldrich Ave.","210","40.8702","-73.830963","Wednesday","8AM - 3PM","2023 Jun 14 12:00:00 AM","2023 Nov 22 12:00:00 AM","Yes","Yes","No","No","(40.8702, -73.830963)","10475"
"Brooklyn","Grand Army Plaza Greenmarket","Grand Army Plaza","308","40.672525","-73.969799","Saturday","8AM - 3PM","2023 Jan 01 12:00:00 AM","2023 Dec 31 12:00:00 AM","Yes","Yes","Yes","No","(40.672525, -73.969799)","11215"
"Bronx","Kingsbridge-Riverdale Farmers' Market","260 W. 231st St.","208","40.880038","-73.907005","Tuesday","9AM - 5PM",,,"Yes","No","No","No","(40.880038, -73.907005)","10463"
"Queens","NYP Youth Market - Queens","73-15 Northern Blvd.","403","40.754714","-73.893504","Friday","9AM - 3PM","2023 Jul 07 12:00:00 AM","2023 Aug 25 12:00:00 AM","No","No","No","No","(40.754714, -73.893504)","11372"
"Queens","Queens County Farm Museum Farm Stand","73-50 Little Neck Parkway","413","40.748163","-73.719431","Wednesday - Sunday","11AM - 3PM","2023 May 10 12:00:00 AM","2023 Nov 18 12:00:00 AM","Yes","Yes","No","No","(40.748163, -73.719431)","11004"
"Staten Island","Heritage Farm Stand (Gazebo Road)","1000 Richmond Terrace (Gazebo Road)","501","40.645075","-74.104753","Saturday","10AM - 3:30PM","2023 May 06 12:00:00 AM","2023 Oct 28 12:00:00 AM","Yes","Yes","No","No","(40.645075, -74.104753)","10301"
"Manhattan","Morningside Park's Down to Earth Farmers Market","W. 110th St. & Manhattan Ave.","107","40.801155","-73.959647","Saturday","9AM - 2PM","2023 Jan 01 12:00:00 AM","2023 Dec 31 12:00:00 AM","Yes","Yes","Yes","No","(40.801155, -73.959647)","10026"
